feature,importance
home_win_pct,0.046618227
away_win_pct,0.03556356
away_20g_player_PLUS_MINUS,0.029640172
home_20g_player_PLUS_MINUS,0.029384155
home_10g_player_PLUS_MINUS,0.026132002
away_10g_player_PLUS_MINUS,0.024385093
away_20g_player_PTS,0.013657872
home_wins,0.012446212
home_losses,0.0097504
away_eFG,0.009738577
away_10g_player_AST,0.008767236
away_10g_player_FG_PCT,0.008749489
away_r10_eFG,0.008719752
home_r10_PTS,0.008708811
home_20g_player_FG3_PCT,0.008707393
away_losses,0.008581173
home_20g_player_PTS,0.00838934
away_10g_player_PTS,0.008369619
home_10g_player_PTS,0.008331938
home_r10_TO,0.008034361
home_10g_player_BLK,0.007922078
home_eFG,0.007865477
away_10g_player_FG3M,0.007803618
away_r10_OREB,0.007772397
away_20g_player_FG3M,0.007262191
away_days_rest,0.0072281226
home_FG_PCT,0.0071232165
away_20g_player_DREB,0.006810027
away_10g_player_FG3A,0.006443741
away_10g_player_PF,0.006426993
away_20g_player_AST,0.0063998774
home_BLK,0.0063477107
away_FG3M,0.0062329373
home_FGA,0.006230278
home_10g_player_STL,0.0061915396
away_20g_player_FG_PCT,0.0061535193
away_wins,0.006124859
home_days_rest,0.0061137863
away_20g_player_OREB,0.0061092232
away_r10_FG_PCT,0.0060826438
away_r10_FGA,0.0060774246
away_20g_player_REB,0.005997351
home_r10_eFG,0.0058980407
away_20g_player_PF,0.005891733
away_r10_TO,0.005831416
home_PTS,0.005830774
home_10g_player_TO,0.005802
away_10g_player_DREB,0.005756048
home_FG3_PCT,0.0057520266
home_20g_player_FG3M,0.00572556
tz_diff,0.0057082656
away_20g_player_FGA,0.005695065
home_10g_player_FG3M,0.0056091617
away_r10_PF,0.0055491133
home_20g_player_FTM,0.0055405167
away_PTS,0.005539783
away_r10_AST,0.005524355
home_20g_player_STL,0.0055175796
away_10g_player_BLK,0.0055083535
away_r10_FGM,0.005485232
home_r10_BLK,0.0054737623
home_r10_FG3M,0.005453419
away_10g_player_OREB,0.0054447707
away_FG3A,0.005367923
home_20g_player_FT_PCT,0.005354096
home_team_id,0.005331502
away_10g_player_REB,0.0053286157
home_10g_player_AST,0.0053279186
home_20g_player_TO,0.0053164824
away_r10_FT_PCT,0.00530798
away_10g_player_STL,0.00528094
away_TO,0.005275766
home_r10_REB,0.005271733
away_20g_player_TO,0.0052335514
home_r10_FTM,0.005222814
away_r10_FG3A,0.0051988577
home_r10_PF,0.0051946174
away_FT_PCT,0.005189448
away_10g_player_FT_PCT,0.0051887208
home_10g_player_FGA,0.0051627164
home_10g_player_PF,0.0051554665
away_r10_PTS,0.005146997
home_r10_FGA,0.005144635
away_20g_player_BLK,0.005129537
away_PF,0.0051053544
away_FGA,0.005077169
home_10g_player_FT_PCT,0.0050478745
home_FG3M,0.0050336425
away_team_id,0.005023831
home_FTA,0.005022548
away_OREB,0.0049951086
home_r10_FTA,0.004951762
home_20g_player_AST,0.0049323672
away_20g_player_FTA,0.004888001
home_20g_player_FG3A,0.004877124
home_10g_player_DREB,0.004872016
away_20g_player_STL,0.0048617264
home_OREB,0.004838706
away_10g_player_FG3_PCT,0.0048164004
away_10g_player_FGA,0.00480867
home_20g_player_OREB,0.004790082
away_REB,0.004788528
home_10g_player_FG3_PCT,0.0047550723
home_FG3A,0.004751632
home_20g_player_FGA,0.004742171
away_20g_player_FT_PCT,0.0047381283
home_10g_player_FTM,0.0047359336
home_20g_player_PF,0.004703099
home_r10_AST,0.004659482
home_FTM,0.0046486207
away_r10_FG3_PCT,0.004648218
away_FGM,0.004639463
away_FG3_PCT,0.004611052
away_10g_player_TO,0.004556364
home_r10_FG3A,0.00451902
away_r10_STL,0.004511298
home_STL,0.004488289
home_10g_player_REB,0.0044778567
away_STL,0.004351385
away_20g_player_FG3A,0.0042987857
home_20g_player_FTA,0.004283839
away_r10_FTM,0.004271864
home_r10_STL,0.0042617777
away_20g_player_FG3_PCT,0.004197377
home_20g_player_REB,0.0041711996
away_r10_FTA,0.004167244
away_20g_player_FTM,0.0041173487
away_FG_PCT,0.0040970775
home_10g_player_OREB,0.0040796716
home_TO,0.004007663
home_FT_PCT,0.004006559
home_r10_FG3_PCT,0.003996296
home_10g_player_FG_PCT,0.0039306073
away_FTM,0.0039069
home_10g_player_FTA,0.003883654
away_10g_player_FTA,0.0037968995
home_20g_player_DREB,0.0037645213
home_PF,0.0037035004
away_FTA,0.0036857051
home_r10_OREB,0.0036283582
home_REB,0.0036120156
away_DREB,0.0035874697
home_DREB,0.003566533
home_20g_player_FG_PCT,0.0035494005
home_20g_player_BLK,0.0033423083
away_r10_DREB,0.0033077956
away_r10_BLK,0.0032539687
home_r10_FT_PCT,0.0031394516
home_AST,0.0028467644
home_10g_player_FG3A,0.0028182396
home_r10_FGM,0.0028152026
away_r10_REB,0.0027674763
home_r10_DREB,0.002682292
away_10g_player_FTM,0.0026575462
away_BLK,0.0023973125
away_AST,0.0021100738
home_FGM,0.0019595753
away_r10_FG3M,0.0
home_r10_FG_PCT,0.0
