game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
1,4018092364,4,615,Jumpball,Chet Holmgren vs. Isaiah Jackson (Isaiah Hartenstein gains possession),0,0,1,1st Quarter,12:00,FALSE,0,25,4433255,4432170,4222252,2025-10-23T23:45:10Z,FALSE,-214748340,-214748365,0,Jump Ball,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,12:00,12,0,FALSE,FALSE,1,1,1,1,720,1440,2880,720,1440,2880,1,,,-214748406.75,-214748365,2025-10-23,2025-10-23T23:30:00Z,
2,4018092367,7,92,Jump Shot,Aaron Wiggins misses 25-foot three point jumper,0,0,1,1st Quarter,11:39,FALSE,0,25,4397183,,,2025-10-23T23:45:28Z,TRUE,6,17,3,Missed 3PT,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:39,11,39,FALSE,FALSE,1,1,1,1,699,1419,2859,696,1416,2856,1,1,1,-24.75,-19,2025-10-23,2025-10-23T23:30:00Z,
3,4018092368,8,156,Offensive Rebound,Thunder offensive team rebound,0,0,1,1st Quarter,11:36,FALSE,0,25,,,,2025-10-23T23:45:31Z,FALSE,6,17,0,Rebound,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:36,11,36,FALSE,FALSE,1,1,1,1,696,1416,2856,690,1410,2850,1,1,1,-24.75,-19,2025-10-23,2025-10-23T23:30:00Z,
4,40180923610,10,42,Offensive Foul,Luguentz Dort offensive foul,0,0,1,1st Quarter,11:30,FALSE,0,25,4397020,,,2025-10-23T23:45:55Z,FALSE,27,7,0,Foul,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:30,11,30,FALSE,FALSE,1,1,1,1,690,1410,2850,690,1410,2850,1,1,1,-34.75,2,2025-10-23,2025-10-23T23:30:00Z,
5,40180923612,12,84,Offensive Foul Turnover,Luguentz Dort turnover,0,0,1,1st Quarter,11:30,FALSE,0,25,4397020,,,2025-10-23T23:45:55Z,FALSE,27,7,0,Turnover,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:30,11,30,FALSE,FALSE,1,1,1,1,690,1410,2850,674,1394,2834,1,1,1,-34.75,2,2025-10-23,2025-10-23T23:30:00Z,
6,40180923613,13,42,Offensive Foul,Isaiah Jackson offensive foul,0,0,1,1st Quarter,11:14,FALSE,0,11,4432170,,,2025-10-23T23:46:23Z,FALSE,27,13,0,Foul,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:14,11,14,FALSE,FALSE,1,1,1,1,674,1394,2834,674,1394,2834,1,1,1,28.75,-2,2025-10-23,2025-10-23T23:30:00Z,
7,40180923615,15,84,Offensive Foul Turnover,Isaiah Jackson turnover,0,0,1,1st Quarter,11:14,FALSE,0,11,4432170,,,2025-10-23T23:46:23Z,FALSE,27,13,0,Turnover,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:14,11,14,FALSE,FALSE,1,1,1,1,674,1394,2834,661,1381,2821,1,1,1,28.75,-2,2025-10-23,2025-10-23T23:30:00Z,
8,40180923616,16,44,Shooting Foul,Andrew Nembhard shooting foul,0,0,1,1st Quarter,11:01,FALSE,0,11,4395712,,,2025-10-23T23:46:45Z,FALSE,15,1,0,Foul,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:01,11,1,FALSE,FALSE,1,1,1,1,661,1381,2821,661,1381,2821,1,1,1,40.75,10,2025-10-23,2025-10-23T23:30:00Z,
9,40180923618,18,98,Free Throw - 1 of 2,Shai Gilgeous-Alexander makes free throw 1 of 2,1,0,1,1st Quarter,11:01,TRUE,1,25,4278073,,,2025-10-23T23:47:06Z,TRUE,25,13.75,1,+1 Point,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:01,11,1,FALSE,FALSE,1,1,1,1,661,1381,2821,661,1381,2821,1,1,1,-28,0,2025-10-23,2025-10-23T23:30:00Z,
10,40180923619,19,99,Free Throw - 2 of 2,Shai Gilgeous-Alexander misses free throw 2 of 2,1,0,1,1st Quarter,11:01,FALSE,0,25,4278073,,,2025-10-23T23:47:06Z,TRUE,25,13.75,1,Missed FT,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:01,11,1,FALSE,FALSE,1,1,1,1,661,1381,2821,661,1381,2821,1,1,1,-28,0,2025-10-23,2025-10-23T23:30:00Z,
11,40180923620,20,155,Defensive Rebound,Andrew Nembhard defensive rebound,1,0,1,1st Quarter,11:01,FALSE,0,11,4395712,,,2025-10-23T23:47:06Z,FALSE,-214748340,-214748365,0,Rebound,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,11:01,11,1,FALSE,FALSE,1,1,1,1,661,1381,2821,648,1368,2808,1,1,1,214748406.75,214748365,2025-10-23,2025-10-23T23:30:00Z,
12,40180923621,21,121,Fade Away Jump Shot,Andrew Nembhard misses 14-foot two point shot,1,0,1,1st Quarter,10:48,FALSE,0,11,4395712,,,2025-10-23T23:47:34Z,TRUE,10,0,2,Missed FG,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:48,10,48,FALSE,FALSE,1,1,1,1,648,1368,2808,646,1366,2806,1,1,1,41.75,15,2025-10-23,2025-10-23T23:30:00Z,
13,40180923622,22,155,Defensive Rebound,Shai Gilgeous-Alexander defensive rebound,1,0,1,1st Quarter,10:46,FALSE,0,25,4278073,,,2025-10-23T23:47:36Z,FALSE,10,0,0,Rebound,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:46,10,46,FALSE,FALSE,1,1,1,1,646,1366,2806,634,1354,2794,1,1,1,-41.75,-15,2025-10-23,2025-10-23T23:30:00Z,
14,40180923623,23,92,Jump Shot,Chet Holmgren misses 24-foot three point jumper,1,0,1,1st Quarter,10:34,FALSE,0,25,4433255,,,2025-10-23T23:47:50Z,TRUE,1,1,3,Missed 3PT,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:34,10,34,FALSE,FALSE,1,1,1,1,634,1354,2794,632,1352,2792,1,1,1,-40.75,-24,2025-10-23,2025-10-23T23:30:00Z,
15,40180923624,24,155,Defensive Rebound,Pascal Siakam defensive rebound,1,0,1,1st Quarter,10:32,FALSE,0,11,3149673,,,2025-10-23T23:47:52Z,FALSE,1,1,0,Rebound,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:32,10,32,FALSE,FALSE,1,1,1,1,632,1352,2792,626,1346,2786,1,1,1,40.75,24,2025-10-23,2025-10-23T23:30:00Z,
16,40180923625,25,63,Lost Ball Turnover,Andrew Nembhard lost ball turnover (Chet Holmgren steals),1,0,1,1st Quarter,10:26,FALSE,0,11,4395712,4433255,,2025-10-23T23:47:57Z,FALSE,29,27,0,Turnover,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:26,10,26,FALSE,FALSE,1,1,1,1,626,1346,2786,619,1339,2779,1,1,1,14.75,-4,2025-10-23,2025-10-23T23:30:00Z,
17,40180923627,27,110,Driving Layup Shot,Chet Holmgren makes driving layup,3,0,1,1st Quarter,10:19,TRUE,2,25,4433255,,,2025-10-23T23:48:04Z,TRUE,28,3,2,+2 Points,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:19,10,19,FALSE,FALSE,1,1,1,1,619,1339,2779,600,1320,2760,1,1,1,-38.75,3,2025-10-23,2025-10-23T23:30:00Z,
18,40180923628,28,63,Lost Ball Turnover,Bennedict Mathurin lost ball turnover (Shai Gilgeous-Alexander steals),3,0,1,1st Quarter,10:00,FALSE,0,11,4683634,4278073,,2025-10-23T23:48:27Z,FALSE,17,3,0,Turnover,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:00,10,0,FALSE,FALSE,1,1,1,1,600,1320,2760,600,1320,2760,1,1,1,38.75,8,2025-10-23,2025-10-23T23:30:00Z,
19,40180923630,30,90,Out of Bounds - Bad Pass Turnover,Shai Gilgeous-Alexander out of bounds bad pass turnover,3,0,1,1st Quarter,10:00,FALSE,0,25,4278073,,,2025-10-23T23:48:30Z,FALSE,18,-3,0,Turnover,2026,2,11,Indiana,Pacers,IND,Indiana,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.5,TRUE,FALSE,2.5,1,10:00,10,0,FALSE,FALSE,1,1,1,1,600,1320,2760,596,1316,2756,1,1,1,-44.75,-7,2025-10-23,2025-10-23T23:30:00Z,
