game_date,home_team,away_team,home_ticker,away_ticker,timestamp,home_high_cents,home_low_cents,home_volume,home_trades,away_high_cents,away_low_cents,away_volume,away_trades
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:18.500000+00:00,0.28,0.28,300,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:21+00:00,0.28,0.28,50,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:21.300000+00:00,,,0,0,0.73,0.73,3,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:28.500000+00:00,0.28,0.28,5,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:30.100000+00:00,0.28,0.28,12000,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:30.600000+00:00,,,0,0,0.73,0.73,45,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:31.400000+00:00,,,0,0,0.73,0.73,13,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:31.500000+00:00,,,0,0,0.73,0.73,100,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:32.300000+00:00,0.28,0.28,10,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:33.700000+00:00,,,0,0,0.73,0.73,70,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:34.500000+00:00,0.28,0.28,1000,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:35.200000+00:00,,,0,0,0.73,0.73,118,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:35.400000+00:00,,,0,0,0.73,0.73,500,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:38.300000+00:00,,,0,0,0.73,0.73,6,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:40+00:00,,,0,0,0.73,0.73,1,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:40.100000+00:00,0.28,0.28,170,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:43.600000+00:00,0.28,0.28,1,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:45.300000+00:00,,,0,0,0.73,0.73,50,1
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:46.200000+00:00,0.28,0.28,27,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:52.200000+00:00,0.28,0.28,45,1,,,0,0
2025-10-23,Indiana Pacers,Oklahoma City Thunder,KXNBAGAME-25OCT23OKCIND-IND,KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 23:15:53.500000+00:00,0.28,0.28,100,1,,,0,0
