game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
1,4018092434,4,615,Jumpball,Steven Adams vs. Chet Holmgren (Amen Thompson gains possession),0,0,1,1st Quarter,12:00,FALSE,0,10,2991235,4433255,4684740,2025-10-21T23:43:27Z,FALSE,-214748340,-214748365,0,Jump Ball,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,12:00,12,0,FALSE,FALSE,1,1,1,1,720,1440,2880,720,1440,2880,1,,,-214748406.75,-214748365,2025-10-21,2025-10-21T23:30:00Z,
2,4018092438,8,92,Jump Shot,Alperen Sengun misses 25-foot three point jumper,0,0,1,1st Quarter,11:36,FALSE,0,10,4871144,,,2025-10-21T23:43:59Z,TRUE,7,18,3,Missed 3PT,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:36,11,36,FALSE,FALSE,1,1,1,1,696,1416,2856,691,1411,2851,1,1,1,-23.75,-18,2025-10-21,2025-10-21T23:30:00Z,
3,4018092439,9,155,Defensive Rebound,Cason Wallace defensive rebound,0,0,1,1st Quarter,11:31,FALSE,0,25,4683692,,,2025-10-21T23:44:04Z,FALSE,7,18,0,Rebound,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:31,11,31,FALSE,FALSE,1,1,1,1,691,1411,2851,686,1406,2846,1,1,1,23.75,18,2025-10-21,2025-10-21T23:30:00Z,
4,40180924310,10,141,Cutting Layup Shot,Chet Holmgren makes 1-foot layup (Luguentz Dort assists),0,2,1,1st Quarter,11:26,TRUE,2,25,4433255,4397020,,2025-10-21T23:44:12Z,TRUE,25,2,2,+2 Points,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:26,11,26,FALSE,FALSE,1,1,1,1,686,1406,2846,686,1406,2846,1,1,1,39.75,-0,2025-10-21,2025-10-21T23:30:00Z,
5,40180924312,12,44,Shooting Foul,Jabari Smith Jr. shooting foul,0,2,1,1st Quarter,11:26,FALSE,0,10,4432639,,,2025-10-21T23:44:14Z,FALSE,26,2,0,Foul,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:26,11,26,FALSE,FALSE,1,1,1,1,686,1406,2846,686,1406,2846,1,1,1,-39.75,1,2025-10-21,2025-10-21T23:30:00Z,
6,40180924314,14,97,Free Throw - 1 of 1,Chet Holmgren makes free throw 1 of 1,0,3,1,1st Quarter,11:26,TRUE,1,25,4433255,,,2025-10-21T23:44:48Z,TRUE,25,13.75,1,+1 Point,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:26,11,26,FALSE,FALSE,1,1,1,1,686,1406,2846,668,1388,2828,1,1,1,28,-0,2025-10-21,2025-10-21T23:30:00Z,
7,40180924315,15,92,Jump Shot,Amen Thompson misses 23-foot three point jumper,0,3,1,1st Quarter,11:08,FALSE,0,10,4684740,,,2025-10-21T23:45:08Z,TRUE,48,0,3,Missed 3PT,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:08,11,8,FALSE,FALSE,1,1,1,1,668,1388,2828,664,1384,2824,1,1,1,-41.75,23,2025-10-21,2025-10-21T23:30:00Z,
8,40180924316,16,156,Offensive Rebound,Jabari Smith Jr. offensive rebound,0,3,1,1st Quarter,11:04,FALSE,0,10,4432639,,,2025-10-21T23:45:12Z,FALSE,48,0,0,Rebound,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:04,11,4,FALSE,FALSE,1,1,1,1,664,1384,2824,662,1382,2822,1,1,1,-41.75,23,2025-10-21,2025-10-21T23:30:00Z,
9,40180924317,17,125,Layup Shot Putback,Jabari Smith Jr. makes two point shot,2,3,1,1st Quarter,11:02,TRUE,2,10,4432639,,,2025-10-21T23:45:13Z,TRUE,24,0,2,+2 Points,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,11:02,11,2,FALSE,FALSE,1,1,1,1,662,1382,2822,650,1370,2810,1,1,1,-41.75,-1,2025-10-21,2025-10-21T23:30:00Z,
10,40180924318,18,130,Floating Jump Shot,Chet Holmgren makes 7-foot two point shot (Cason Wallace assists),2,5,1,1st Quarter,10:50,TRUE,2,25,4433255,4683692,,2025-10-21T23:45:25Z,TRUE,31,4,2,+2 Points,2026,2,25,Oklahoma City,Thunder,OKC,Oklahoma City,10,Houston,Rockets,HOU,Houston,2.5,TRUE,FALSE,2.5,1,10:50,10,50,FALSE,FALSE,1,1,1,1,650,1370,2810,640,1360,2800,1,1,1,37.75,-6,2025-10-21,2025-10-21T23:30:00Z,
