game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
1,4018100794,4,615,Jumpball,Nikola Jokic vs. Ivica Zubac (Derrick Jones Jr. gains possession),0,0,1,1st Quarter,12:00,FALSE,0,12,4017837,3112335,3936099,2025-11-13T03:40:37Z,FALSE,-214748340,-214748365,0,Jump Ball,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,12:00,12,0,FALSE,FALSE,1,1,1,1,720,1440,2880,720,1440,2880,1,,,214748406.75,214748365,2025-11-12,2025-11-13T03:30:00Z,
2,4018100797,7,92,Jump Shot,John Collins misses 27-foot three point jumper,0,0,1,1st Quarter,11:45,FALSE,0,12,3908845,,,2025-11-13T03:40:48Z,TRUE,4,19,3,Missed 3PT,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:45,11,45,FALSE,FALSE,1,1,1,1,705,1425,2865,702,1422,2862,1,1,1,22.75,21,2025-11-12,2025-11-13T03:30:00Z,
3,4018100798,8,155,Defensive Rebound,Cameron Johnson defensive rebound,0,0,1,1st Quarter,11:42,FALSE,0,7,3138196,,,2025-11-13T03:40:51Z,FALSE,4,19,0,Rebound,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:42,11,42,FALSE,FALSE,1,1,1,1,702,1422,2862,693,1413,2853,1,1,1,-22.75,-21,2025-11-12,2025-11-13T03:30:00Z,
4,4018100799,9,141,Cutting Layup Shot,John Collins blocks Nikola Jokic 's 3-foot layup,0,0,1,1st Quarter,11:33,FALSE,0,7,3112335,3908845,,2025-11-13T03:41:00Z,TRUE,24,4,2,Missed FG,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:33,11,33,FALSE,FALSE,1,1,1,1,693,1413,2853,692,1412,2852,1,1,1,-37.75,-1,2025-11-12,2025-11-13T03:30:00Z,
5,40181007911,11,156,Offensive Rebound,Aaron Gordon offensive rebound,0,0,1,1st Quarter,11:32,FALSE,0,7,3064290,,,2025-11-13T03:41:01Z,FALSE,24,4,0,Rebound,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:32,11,32,FALSE,FALSE,1,1,1,1,692,1412,2852,688,1408,2848,1,1,1,-37.75,-1,2025-11-12,2025-11-13T03:30:00Z,
6,40181007912,12,132,Step Back Jump Shot,Jamal Murray misses 26-foot three point step back jumpshot,0,0,1,1st Quarter,11:28,FALSE,0,7,3936299,,,2025-11-13T03:41:06Z,TRUE,34,25,3,Missed 3PT,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:28,11,28,FALSE,FALSE,1,1,1,1,688,1408,2848,685,1405,2845,1,1,1,-16.75,9,2025-11-12,2025-11-13T03:30:00Z,
7,40181007913,13,156,Offensive Rebound,Nikola Jokic offensive rebound,0,0,1,1st Quarter,11:25,FALSE,0,7,3112335,,,2025-11-13T03:41:09Z,FALSE,34,25,0,Rebound,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:25,11,25,FALSE,FALSE,1,1,1,1,685,1405,2845,682,1402,2842,1,1,1,-16.75,9,2025-11-12,2025-11-13T03:30:00Z,
8,40181007914,14,120,Turnaround Hook Shot,Nikola Jokic misses 6-foot two point shot,0,0,1,1st Quarter,11:22,FALSE,0,7,3112335,,,2025-11-13T03:41:14Z,TRUE,26,7,2,Missed FG,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:22,11,22,FALSE,FALSE,1,1,1,1,682,1402,2842,681,1401,2841,1,1,1,-34.75,1,2025-11-12,2025-11-13T03:30:00Z,
9,40181007915,15,155,Defensive Rebound,Ivica Zubac defensive rebound,0,0,1,1st Quarter,11:21,FALSE,0,12,4017837,,,2025-11-13T03:41:15Z,FALSE,26,7,0,Rebound,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:21,11,21,FALSE,FALSE,1,1,1,1,681,1401,2841,662,1382,2822,1,1,1,34.75,-1,2025-11-12,2025-11-13T03:30:00Z,
10,40181007916,16,139,Hook Driving Bank,Ivica Zubac makes 2-foot two point shot,0,2,1,1st Quarter,11:02,TRUE,2,12,4017837,,,2025-11-13T03:41:31Z,TRUE,24,2,2,+2 Points,2026,2,12,LA,Clippers,LAC,LA,7,Denver,Nuggets,DEN,Denver,2.5,TRUE,FALSE,2.5,1,11:02,11,2,FALSE,FALSE,1,1,1,1,662,1382,2822,644,1364,2804,1,1,1,39.75,1,2025-11-12,2025-11-13T03:30:00Z,
