game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
1,4018106284,4,615,Jumpball,Daniel Gafford vs. Mark Williams (Collin Gillespie gains possession),0,0,1,1st Quarter,12:00,FALSE,0,21,4701232,4278049,4278585,2026-02-11T02:10:31Z,FALSE,-214748340,-214748365,0,Jump Ball,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,12:00,12,0,FALSE,FALSE,1,1,1,1,720,1440,2880,720,1440,2880,1,,,214748406.75,214748365,2026-02-10,2026-02-11T02:00:00Z,
2,4018106287,7,137,Turnaround Fade Away Jump Shot,Dillon Brooks misses 14-foot two point shot,0,0,1,1st Quarter,11:36,FALSE,0,21,3155526,,,2026-02-11T02:10:51Z,TRUE,14,10,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:36,11,36,FALSE,FALSE,1,1,1,1,696,1416,2856,693,1413,2853,1,1,1,31.75,11,2026-02-10,2026-02-11T02:00:00Z,
3,4018106288,8,155,Defensive Rebound,P.J. Washington defensive rebound,0,0,1,1st Quarter,11:33,FALSE,0,6,4278078,,,2026-02-11T02:10:54Z,FALSE,14,10,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:33,11,33,FALSE,FALSE,1,1,1,1,693,1413,2853,680,1400,2840,1,1,1,-31.75,-11,2026-02-10,2026-02-11T02:00:00Z,
4,4018106289,9,44,Shooting Foul,Collin Gillespie shooting foul,0,0,1,1st Quarter,11:20,FALSE,0,21,4278585,,,2026-02-11T02:11:09Z,FALSE,19,6,0,Foul,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:20,11,20,FALSE,FALSE,1,1,1,1,680,1400,2840,680,1400,2840,1,1,1,35.75,6,2026-02-10,2026-02-11T02:00:00Z,
5,40181062811,11,98,Free Throw - 1 of 2,P.J. Washington misses free throw 1 of 2,0,0,1,1st Quarter,11:20,FALSE,0,6,4278078,,,2026-02-11T02:11:40Z,TRUE,25,13.75,1,Missed FT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:20,11,20,FALSE,FALSE,1,1,1,1,680,1400,2840,680,1400,2840,1,1,1,-28,0,2026-02-10,2026-02-11T02:00:00Z,
6,40181062812,12,156,Offensive Rebound,Mavericks offensive team rebound,0,0,1,1st Quarter,11:20,FALSE,0,6,,,,2026-02-11T02:11:40Z,FALSE,-214748340,-214748365,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:20,11,20,FALSE,FALSE,1,1,1,1,680,1400,2840,680,1400,2840,1,1,1,-214748406.75,-214748365,2026-02-10,2026-02-11T02:00:00Z,
7,40181062813,13,99,Free Throw - 2 of 2,P.J. Washington makes free throw 2 of 2,1,0,1,1st Quarter,11:20,TRUE,1,6,4278078,,,2026-02-11T02:11:56Z,TRUE,25,13.75,1,+1 Point,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:20,11,20,FALSE,FALSE,1,1,1,1,680,1400,2840,669,1389,2829,1,1,1,-28,0,2026-02-10,2026-02-11T02:00:00Z,
8,40181062814,14,90,Out of Bounds - Bad Pass Turnover,Devin Booker out of bounds bad pass turnover,1,0,1,1st Quarter,11:09,FALSE,0,21,3136193,,,2026-02-11T02:12:12Z,FALSE,43,20,0,Turnover,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,11:09,11,9,FALSE,FALSE,1,1,1,1,669,1389,2829,645,1365,2805,1,1,1,21.75,-18,2026-02-10,2026-02-11T02:00:00Z,
9,40181062815,15,132,Step Back Jump Shot,P.J. Washington misses 22-foot three point step back jumpshot,1,0,1,1st Quarter,10:45,FALSE,0,6,4278078,,,2026-02-11T02:12:40Z,TRUE,2,-2,3,Missed 3PT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:45,10,45,FALSE,FALSE,1,1,1,1,645,1365,2805,642,1362,2802,1,1,1,-43.75,-23,2026-02-10,2026-02-11T02:00:00Z,
10,40181062816,16,155,Defensive Rebound,Devin Booker defensive rebound,1,0,1,1st Quarter,10:42,FALSE,0,21,3136193,,,2026-02-11T02:12:43Z,FALSE,2,-2,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:42,10,42,FALSE,FALSE,1,1,1,1,642,1362,2802,635,1355,2795,1,1,1,43.75,23,2026-02-10,2026-02-11T02:00:00Z,
