game_date,home_team,away_team,home_ticker,away_ticker,timestamp,home_high_cents,home_low_cents,home_volume,home_trades,away_high_cents,away_low_cents,away_volume,away_trades
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:11:34+00:00,,,0,0,33.0,33.0,142,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:11:36.300000+00:00,68.0,68.0,215,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:11:37.600000+00:00,68.0,68.0,24,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:00.600000+00:00,68.0,68.0,71,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:03.300000+00:00,,,0,0,33.0,33.0,15,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:05.700000+00:00,,,0,0,33.0,33.0,285,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:09+00:00,,,0,0,33.0,33.0,8,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:22.100000+00:00,68.0,68.0,1,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:24.200000+00:00,68.0,68.0,35,1,33.0,33.0,14,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:26.800000+00:00,68.0,68.0,500,3,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:27.200000+00:00,,,0,0,33.0,33.0,115,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:31.500000+00:00,,,0,0,33.0,33.0,86,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:33.700000+00:00,68.0,68.0,14,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:38.300000+00:00,,,0,0,33.0,33.0,83,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:48.800000+00:00,,,0,0,33.0,33.0,27,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:49.300000+00:00,68.0,68.0,7,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:12:58.500000+00:00,68.0,68.0,70,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:09.800000+00:00,68.0,68.0,35,1,,,0,0
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:11.500000+00:00,,,0,0,33.0,33.0,3,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:16.400000+00:00,,,0,0,33.0,33.0,14,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:19.400000+00:00,,,0,0,33.0,33.0,19,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:20+00:00,,,0,0,33.0,33.0,5,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:21.200000+00:00,,,0,0,33.0,33.0,2,1
2026-03-12,Miami Heat,Milwaukee Bucks,KXNBAGAME-26MAR12MILMIA-MIA,KXNBAGAME-26MAR12MILMIA-MIL,2026-03-12 23:13:31.800000+00:00,,,0,0,33.0,33.0,28,1
