feature,importance
home_win_pct,0.052536298
away_win_pct,0.03585862
home_20g_player_PLUS_MINUS,0.032333363
away_10g_player_PLUS_MINUS,0.028165136
home_10g_player_PLUS_MINUS,0.02769972
away_20g_player_PLUS_MINUS,0.027585382
away_eFG,0.015463679
home_wins,0.015060167
home_losses,0.013679726
home_eFG,0.013156877
away_10g_player_FG_PCT,0.012271639
home_r10_eFG,0.0118746925
home_20g_player_FG3_PCT,0.011797465
away_PTS,0.011663496
home_20g_player_PF,0.011551919
away_r10_eFG,0.011224871
away_losses,0.01085785
away_20g_player_FG3M,0.010536322
away_20g_player_PTS,0.009851238
away_FG3M,0.009808252
home_10g_player_PTS,0.009743213
home_FG_PCT,0.008786991
away_days_rest,0.00876734
home_10g_player_FTA,0.007936441
home_r10_FG_PCT,0.007895095
away_10g_player_DREB,0.007872101
away_10g_player_FG3M,0.0077027385
away_10g_player_FG3A,0.0075798505
home_FGA,0.007514691
home_PF,0.0075115073
home_PTS,0.007473674
home_20g_player_TO,0.0074375165
away_AST,0.00743161
home_20g_player_PTS,0.007376066
home_r10_REB,0.0073265526
home_20g_player_FG3M,0.0071655023
home_r10_FGA,0.0071414527
away_r10_FG3A,0.0071112323
away_20g_player_FG3A,0.0070611592
away_20g_player_FTA,0.0070505305
home_10g_player_FG_PCT,0.0070451847
away_FG3A,0.006875332
home_days_rest,0.0067626066
home_BLK,0.0067556156
away_20g_player_AST,0.0067164623
away_r10_FG3M,0.0066023
home_10g_player_AST,0.006455709
home_r10_FG3M,0.0063643693
home_10g_player_FG3_PCT,0.0063308077
away_20g_player_FG_PCT,0.00632234
away_DREB,0.0062738536
home_20g_player_FTA,0.006266575
home_10g_player_FG3M,0.0062446217
away_r10_TO,0.0062310696
away_20g_player_PF,0.006189122
away_20g_player_TO,0.006165508
away_r10_BLK,0.0061377883
home_20g_player_STL,0.0061250017
home_r10_FTA,0.0060873213
home_REB,0.0060694288
home_team_id,0.0060119666
home_10g_player_STL,0.005941143
away_PF,0.0059141098
away_20g_player_STL,0.0058754985
away_r10_AST,0.0058686486
home_STL,0.0058323815
home_10g_player_BLK,0.005829547
away_wins,0.0058091367
away_TO,0.0057762605
away_20g_player_DREB,0.0057372595
home_10g_player_PF,0.0057064085
home_20g_player_AST,0.0057005845
away_FTA,0.0056879604
away_r10_STL,0.0056405943
away_OREB,0.005638072
home_r10_FG3A,0.005626117
away_10g_player_PTS,0.0056099314
home_20g_player_FT_PCT,0.0055695837
home_r10_TO,0.0055545634
away_REB,0.005547671
away_10g_player_PF,0.005481248
home_20g_player_FTM,0.005430452
away_10g_player_BLK,0.0053937826
away_10g_player_STL,0.005376776
home_TO,0.005374431
away_FTM,0.0053690025
away_BLK,0.005366138
home_FG3M,0.0053281966
away_r10_FTA,0.0053174873
home_OREB,0.0053165704
away_r10_FT_PCT,0.00530318
away_10g_player_REB,0.0052124183
away_r10_REB,0.0052035153
home_10g_player_FTM,0.005183439
home_r10_BLK,0.005170572
home_r10_FG3_PCT,0.00513327
home_FG3_PCT,0.005130743
away_r10_PTS,0.0051290845
away_r10_PF,0.0051236195
home_r10_FTM,0.005091038
away_10g_player_FTA,0.0050013606
away_20g_player_BLK,0.004989691
home_FTA,0.004914957
home_10g_player_FG3A,0.0049043717
away_20g_player_FT_PCT,0.0048916885
away_r10_FG_PCT,0.0048690015
tz_diff,0.004786465
home_20g_player_BLK,0.0047414694
away_20g_player_OREB,0.004728199
away_team_id,0.0047167283
away_r10_DREB,0.0044573573
away_FGA,0.004310945
home_FG3A,0.0042544124
home_10g_player_FT_PCT,0.004208209
away_r10_FG3_PCT,0.0039637457
away_r10_FGA,0.0039221286
home_FT_PCT,0.00391579
home_20g_player_FGA,0.003876485
home_20g_player_REB,0.0038706202
home_10g_player_REB,0.0038429021
home_r10_FT_PCT,0.0038205064
home_20g_player_DREB,0.0036772012
away_STL,0.0036197691
home_r10_OREB,0.0035139183
home_20g_player_OREB,0.0034965484
home_r10_FGM,0.0032349543
away_10g_player_FT_PCT,0.0031843844
home_10g_player_OREB,0.0029547599
home_DREB,0.0026216633
away_r10_OREB,0.002457211
away_r10_FGM,0.0011409114
away_FG_PCT,0.0011315654
away_FT_PCT,0.0007845725
away_20g_player_FG3_PCT,0.0
home_20g_player_FG_PCT,0.0
away_FGM,0.0
away_20g_player_REB,0.0
home_r10_PTS,0.0
away_FG3_PCT,0.0
home_FGM,0.0
home_FTM,0.0
home_AST,0.0
away_r10_FTM,0.0
home_r10_DREB,0.0
home_r10_AST,0.0
home_r10_STL,0.0
home_r10_PF,0.0
away_10g_player_FGA,0.0
away_20g_player_FTM,0.0
away_10g_player_FTM,0.0
away_10g_player_OREB,0.0
home_10g_player_DREB,0.0
away_10g_player_AST,0.0
away_10g_player_TO,0.0
home_10g_player_TO,0.0
away_10g_player_FG3_PCT,0.0
away_20g_player_FGA,0.0
home_20g_player_FG3A,0.0
home_10g_player_FGA,0.0
